,r1c1,r1c2,r2c1,r2c2,r3c1,r3c2,r1,r2,r3
0,5,4,3,5,4,3,0,0,0
1,5,4,3,5,4,2,0,0,1
2,5,4,3,5,4,1,0,0,1
3,5,4,3,5,4,0,0,0,1
4,5,4,2,5,4,3,0,0,-1
5,5,4,2,5,4,2,0,0,0
6,5,4,2,5,4,1,0,0,1
7,5,4,2,5,4,0,0,0,1
8,5,4,1,5,4,3,0,0,-1
9,5,4,1,5,4,2,0,0,-1
10,5,4,1,5,4,1,0,0,0
11,5,4,1,5,4,0,0,0,1
12,5,4,0,5,4,3,0,0,-1
13,5,4,0,5,4,2,0,0,-1
14,5,4,0,5,4,1,0,0,-1
15,5,4,0,5,4,0,0,0,0
16,5,4,3,5,3,4,0,1,-1
17,5,4,3,5,3,2,0,1,1
18,5,4,3,5,3,1,0,1,1
19,5,4,3,5,3,0,0,1,1
20,5,4,2,5,3,4,0,1,-1
21,5,4,2,5,3,2,0,1,0
22,5,4,2,5,3,1,0,1,1
23,5,4,2,5,3,0,0,1,1
24,5,4,1,5,3,4,0,1,-1
25,5,4,1,5,3,2,0,1,-1
26,5,4,1,5,3,1,0,1,0
27,5,4,1,5,3,0,0,1,1
28,5,4,0,5,3,4,0,1,-1
29,5,4,0,5,3,2,0,1,-1
30,5,4,0,5,3,1,0,1,-1
31,5,4,0,5,3,0,0,1,0
32,5,4,3,5,2,4,0,1,-1
33,5,4,3,5,2,3,0,1,0
34,5,4,3,5,2,1,0,1,1
35,5,4,3,5,2,0,0,1,1
36,5,4,2,5,2,4,0,1,-1
37,5,4,2,5,2,3,0,1,-1
38,5,4,2,5,2,1,0,1,1
39,5,4,2,5,2,0,0,1,1
40,5,4,1,5,2,4,0,1,-1
41,5,4,1,5,2,3,0,1,-1
42,5,4,1,5,2,1,0,1,0
43,5,4,1,5,2,0,0,1,1
44,5,4,0,5,2,4,0,1,-1
45,5,4,0,5,2,3,0,1,-1
46,5,4,0,5,2,1,0,1,-1
47,5,4,0,5,2,0,0,1,0
48,5,4,3,5,1,4,0,1,-1
49,5,4,3,5,1,3,0,1,0
50,5,4,3,5,1,2,0,1,1
51,5,4,3,5,1,0,0,1,1
52,5,4,2,5,1,4,0,1,-1
53,5,4,2,5,1,3,0,1,-1
54,5,4,2,5,1,2,0,1,0
55,5,4,2,5,1,0,0,1,1
56,5,4,1,5,1,4,0,1,-1
57,5,4,1,5,1,3,0,1,-1
58,5,4,1,5,1,2,0,1,-1
59,5,4,1,5,1,0,0,1,1
60,5,4,0,5,1,4,0,1,-1
61,5,4,0,5,1,3,0,1,-1
62,5,4,0,5,1,2,0,1,-1
63,5,4,0,5,1,0,0,1,0
64,5,4,3,5,0,4,0,1,-1
65,5,4,3,5,0,3,0,1,0
66,5,4,3,5,0,2,0,1,1
67,5,4,3,5,0,1,0,1,1
68,5,4,2,5,0,4,0,1,-1
69,5,4,2,5,0,3,0,1,-1
70,5,4,2,5,0,2,0,1,0
71,5,4,2,5,0,1,0,1,1
72,5,4,1,5,0,4,0,1,-1
73,5,4,1,5,0,3,0,1,-1
74,5,4,1,5,0,2,0,1,-1
75,5,4,1,5,0,1,0,1,0
76,5,4,0,5,0,4,0,1,-1
77,5,4,0,5,0,3,0,1,-1
78,5,4,0,5,0,2,0,1,-1
79,5,4,0,5,0,1,0,1,-1
80,5,3,4,5,4,3,0,-1,1
81,5,3,4,5,4,2,0,-1,1
82,5,3,4,5,4,1,0,-1,1
83,5,3,4,5,4,0,0,-1,1
84,5,3,2,5,4,3,0,-1,-1
85,5,3,2,5,4,2,0,-1,0
86,5,3,2,5,4,1,0,-1,1
87,5,3,2,5,4,0,0,-1,1
88,5,3,1,5,4,3,0,-1,-1
89,5,3,1,5,4,2,0,-1,-1
90,5,3,1,5,4,1,0,-1,0
91,5,3,1,5,4,0,0,-1,1
92,5,3,0,5,4,3,0,-1,-1
93,5,3,0,5,4,2,0,-1,-1
94,5,3,0,5,4,1,0,-1,-1
95,5,3,0,5,4,0,0,-1,0
96,5,3,4,5,3,4,0,0,0
97,5,3,4,5,3,2,0,0,1
98,5,3,4,5,3,1,0,0,1
99,5,3,4,5,3,0,0,0,1
100,5,3,2,5,3,4,0,0,-1
101,5,3,2,5,3,2,0,0,0
102,5,3,2,5,3,1,0,0,1
103,5,3,2,5,3,0,0,0,1
104,5,3,1,5,3,4,0,0,-1
105,5,3,1,5,3,2,0,0,-1
106,5,3,1,5,3,1,0,0,0
107,5,3,1,5,3,0,0,0,1
108,5,3,0,5,3,4,0,0,-1
109,5,3,0,5,3,2,0,0,-1
110,5,3,0,5,3,1,0,0,-1
111,5,3,0,5,3,0,0,0,0
112,5,3,4,5,2,4,0,1,0
113,5,3,4,5,2,3,0,1,1
114,5,3,4,5,2,1,0,1,1
115,5,3,4,5,2,0,0,1,1
116,5,3,2,5,2,4,0,1,-1
117,5,3,2,5,2,3,0,1,-1
118,5,3,2,5,2,1,0,1,1
119,5,3,2,5,2,0,0,1,1
120,5,3,1,5,2,4,0,1,-1
121,5,3,1,5,2,3,0,1,-1
122,5,3,1,5,2,1,0,1,0
123,5,3,1,5,2,0,0,1,1
124,5,3,0,5,2,4,0,1,-1
125,5,3,0,5,2,3,0,1,-1
126,5,3,0,5,2,1,0,1,-1
127,5,3,0,5,2,0,0,1,0
128,5,3,4,5,1,4,0,1,0
129,5,3,4,5,1,3,0,1,1
130,5,3,4,5,1,2,0,1,1
131,5,3,4,5,1,0,0,1,1
132,5,3,2,5,1,4,0,1,-1
133,5,3,2,5,1,3,0,1,-1
134,5,3,2,5,1,2,0,1,0
135,5,3,2,5,1,0,0,1,1
136,5,3,1,5,1,4,0,1,-1
137,5,3,1,5,1,3,0,1,-1
138,5,3,1,5,1,2,0,1,-1
139,5,3,1,5,1,0,0,1,1
140,5,3,0,5,1,4,0,1,-1
141,5,3,0,5,1,3,0,1,-1
142,5,3,0,5,1,2,0,1,-1
143,5,3,0,5,1,0,0,1,0
144,5,3,4,5,0,4,0,1,0
145,5,3,4,5,0,3,0,1,1
146,5,3,4,5,0,2,0,1,1
147,5,3,4,5,0,1,0,1,1
148,5,3,2,5,0,4,0,1,-1
149,5,3,2,5,0,3,0,1,-1
150,5,3,2,5,0,2,0,1,0
151,5,3,2,5,0,1,0,1,1
152,5,3,1,5,0,4,0,1,-1
153,5,3,1,5,0,3,0,1,-1
154,5,3,1,5,0,2,0,1,-1
155,5,3,1,5,0,1,0,1,0
156,5,3,0,5,0,4,0,1,-1
157,5,3,0,5,0,3,0,1,-1
158,5,3,0,5,0,2,0,1,-1
159,5,3,0,5,0,1,0,1,-1
160,5,2,4,5,4,3,0,-1,1
161,5,2,4,5,4,2,0,-1,1
162,5,2,4,5,4,1,0,-1,1
163,5,2,4,5,4,0,0,-1,1
164,5,2,3,5,4,3,0,-1,0
165,5,2,3,5,4,2,0,-1,1
166,5,2,3,5,4,1,0,-1,1
167,5,2,3,5,4,0,0,-1,1
168,5,2,1,5,4,3,0,-1,-1
169,5,2,1,5,4,2,0,-1,-1
170,5,2,1,5,4,1,0,-1,0
171,5,2,1,5,4,0,0,-1,1
172,5,2,0,5,4,3,0,-1,-1
173,5,2,0,5,4,2,0,-1,-1
174,5,2,0,5,4,1,0,-1,-1
175,5,2,0,5,4,0,0,-1,0
176,5,2,4,5,3,4,0,-1,0
177,5,2,4,5,3,2,0,-1,1
178,5,2,4,5,3,1,0,-1,1
179,5,2,4,5,3,0,0,-1,1
180,5,2,3,5,3,4,0,-1,-1
181,5,2,3,5,3,2,0,-1,1
182,5,2,3,5,3,1,0,-1,1
183,5,2,3,5,3,0,0,-1,1
184,5,2,1,5,3,4,0,-1,-1
185,5,2,1,5,3,2,0,-1,-1
186,5,2,1,5,3,1,0,-1,0
187,5,2,1,5,3,0,0,-1,1
188,5,2,0,5,3,4,0,-1,-1
189,5,2,0,5,3,2,0,-1,-1
190,5,2,0,5,3,1,0,-1,-1
191,5,2,0,5,3,0,0,-1,0
192,5,2,4,5,2,4,0,0,0
193,5,2,4,5,2,3,0,0,1
194,5,2,4,5,2,1,0,0,1
195,5,2,4,5,2,0,0,0,1
196,5,2,3,5,2,4,0,0,-1
197,5,2,3,5,2,3,0,0,0
198,5,2,3,5,2,1,0,0,1
199,5,2,3,5,2,0,0,0,1
200,5,2,1,5,2,4,0,0,-1
201,5,2,1,5,2,3,0,0,-1
202,5,2,1,5,2,1,0,0,0
203,5,2,1,5,2,0,0,0,1
204,5,2,0,5,2,4,0,0,-1
205,5,2,0,5,2,3,0,0,-1
206,5,2,0,5,2,1,0,0,-1
207,5,2,0,5,2,0,0,0,0
208,5,2,4,5,1,4,0,1,0
209,5,2,4,5,1,3,0,1,1
210,5,2,4,5,1,2,0,1,1
211,5,2,4,5,1,0,0,1,1
212,5,2,3,5,1,4,0,1,-1
213,5,2,3,5,1,3,0,1,0
214,5,2,3,5,1,2,0,1,1
215,5,2,3,5,1,0,0,1,1
216,5,2,1,5,1,4,0,1,-1
217,5,2,1,5,1,3,0,1,-1
218,5,2,1,5,1,2,0,1,-1
219,5,2,1,5,1,0,0,1,1
220,5,2,0,5,1,4,0,1,-1
